DISTRITO,BARRIO,TIPO_VIVIENDA,VARIACION_PCT,PRECIO_EUR_M2,TRANSACCIONES,RENTA_NETA_PERSONA,RENTA_NETA_HOGAR,VIVIENDAS_TURISTICAS_REAL,VIVIENDAS_TURISTICAS_ACU,PRECIO_EUR_AVG (en €/día),PRECIO_EUR_AVG_ACU (en €/día),PARADAS_METRO,PARADAS_EMT,PERIODO_INICIO_METRO,EDAD_ MEDIA,RESIDENTES_TOTAL,RESIDENTES_ESPANOLES,RESIDENTES_EXTRANJEROS,DENSIDAD_POBLACION,RESIDENTES_MAYORES_65,ZONAS_VERDES_POR_RESIDENTE,TAMAÑO_MEDIO_HOGAR,TASA_PARO,TASA_NATALIDAD,TASA_CRECIMIENTO_DEMOGRAFICO,VIVIENDA_OCUPADA,PERCEPCION_SEGURIDAD,PERCEPCION_CALIDAD_VIDA,INDICE_VULNERABILIDAD,INDICE_SEGURIDAD,INDICE_INFRAESTRUCTURA,PARADAS_TOTAL,TIENE_METRO,TIENE_EMT,PRECIO_TURISMO_REL,DENSIDAD_PARADAS,RENTA_X_PERSONA_HOGAR,RENTAxINFRA,PRECIO_TURISMOxMETRO
11. Carabanchel,111. Comillas,NUEVA,47.27811381310948,2219.0842857142857,152.7642857142857,11915.4,31360.2,11.771428571428572,77.24285714285715,78.3,78.74285714285715,2.0,43.0,1427.2857142857142,43.82357142857143,36170.57142857143,27859.128571428573,7839.914285714286,232.681508616,16.618714285714287,1074832025.8,2.6682254647,8.871428571428572,7.589714285714285,-0.1862857142857143,13538.771428571428,4.8547433903577,5.559758551307847,4.006861679504749,1.30916695905102,1.121445883453005,45.0,0.7142857142857143,1.0,2.61,0.0012663350029081663,11781.41193598092,35169.577856283846,5.828095238095238
12. Usera,121. Orcasitas,NUEVA,74.95776096378461,1917.2314285714288,68.37857142857143,10473.9,29267.8,7.457142857142857,45.457142857142856,71.4,63.82857142857143,0.5714285714285714,35.0,858.1428571428571,42.25285714285714,21624.342857142856,15666.371428571429,4871.028571428571,183.67636917,14.43,1107715458.5857143,2.8307900205857144,9.605714285714285,8.242142857142857,0.1424285714285714,7550.0,3.620217729393469,4.398993963782695,4.013581588771798,1.2900606146082916,1.1349144355327927,35.57142857142857,0.42857142857142855,1.0,2.38,0.0016865019794166257,10346.510633533664,33211.87653846273,1.6204761904761906
13. Puente de Vallecas,131. Entrevías,NUEVA,102.1998648547188,1772.345,203.19166666666666,10594.8,28025.7,11.4,80.28333333333333,164.21666666666667,97.46666666666667,0.8333333333333334,54.666666666666664,996.5,43.534,40551.96666666667,31697.816666666666,7166.916666666667,229.8389463605,16.257833333333334,999349594.4166666,2.66019994655,10.520000000000001,8.138,-0.40099999999999997,15239.0,4.1898911353032675,4.648893360160963,4.141242143565994,1.3610671834249404,1.0808244441352537,55.5,0.5,1.0,5.473888888888889,0.0013800466840296899,10537.58533933471,30290.1528716963,2.1044444444444443
14. Moratalaz,141. Pavones,NUEVA,76.14518293750365,2397.9416666666666,68.89166666666667,15341.3,38126.7,2.466666666666667,15.516666666666667,41.7,42.833333333333336,0.5,20.5,996.5,47.68783333333333,16425.2,14283.883333333333,1758.95,162.48886880233334,22.639333333333333,1097061854.6,2.5312747888,8.37,6.262666666666666,-0.4003333333333333,6660.633333333333,7.526749611197512,8.373843058350099,2.9417383393979493,1.1251554151147416,1.1709989151264713,21.0,0.5,1.0,1.3900000000000001,0.0014174408432357185,15105.75813969496,44666.652457581724,0.5477777777777778
15. Ciudad Lineal,151. Ventas,NUEVA,151.1767285484578,3496.7738888888894,130.48888888888888,16558.4,40958.9,8.866666666666667,58.87777777777778,88.18888888888888,94.47777777777777,1.4444444444444444,11.0,1331.7777777777778,45.66277777777778,22154.277777777777,19031.033333333333,2683.3777777777777,170.66133399911112,20.481333333333332,1390630947.8555555,2.4743363441555557,6.3260000000000005,7.172666666666666,-0.7313333333333333,8872.1,6.492379471228617,6.693360160965792,2.0537710883228586,1.816995835457474,1.4272015086305234,12.444444444444445,0.6666666666666666,1.0,2.9396296296296294,0.0007104020416830408,16584.57875823042,58788.0461592631,4.96037037037037
16. Hortaleza,161. Palomas,NUEVA,86.3438045375218,3502.5674999999997,164.60833333333332,20218.2,53762.3,7.133333333333334,52.85,118.65,171.16666666666666,1.6666666666666667,31.333333333333332,1331.0,43.37733333333333,38231.583333333336,26670.3,3371.2,101.5838008865,15.497166666666667,1196567820.45,2.7755756735,6.022166666666666,7.317833333333334,0.466,11506.3,7.918662519440123,7.864989939637827,2.8752729077075747,1.1907013324121907,1.213245409277257,33.0,0.6666666666666666,1.0,3.955,0.000989566036415512,19458.52695540984,65617.14863916303,4.447222222222222
17. Villaverde,"171. Villaverde Alto, Casco Histórico de Villaverde",NUEVA,60.55818485523387,1685.7879999999998,117.69,10744.9,30026.5,4.7,25.82,48.71,47.1,0.6,43.3,802.8,40.732,22096.16,21740.81,5920.16,159.4542752378,12.5199,1108090378.52,2.86575290218,9.6802,9.1784,0.6506000000000001,9759.04,3.0813374805598768,4.2468812877263575,3.4337065828647035,1.2708418146620613,1.1264456304090633,43.9,0.4,1.0,1.6236666666666668,0.001979724689186849,10504.30804559381,33802.06641728094,1.0086666666666668
18. Villa de Vallecas,181. Casco Histórico de Vallecas,NUEVA,101.41626342499706,2160.4216666666666,200.21666666666667,13217.2,34350.2,0.23333333333333334,0.7333333333333333,9.633333333333333,7.7,2.0,22.666666666666668,1328.6666666666667,41.29600000000001,39463.5,32820.333333333336,5712.3,73.2809649013,14.203333333333331,1037994829.4333333,2.648629951233333,9.090666666666667,9.046333333333333,0.81,14729.7,6.258631415241058,6.530382293762574,3.1365200132318884,1.191003095243623,1.0706112363442997,24.666666666666668,0.6666666666666666,1.0,0.32111111111111107,0.0006134566899934727,12980.890213925526,36782.62789421585,0.6422222222222221
19. Vicálvaro,191. Casco Histórico de Vicálvaro,NUEVA,103.96475770925109,2305.725,121.45,13320.1,36082.6,1.725,9.575,12.775,11.775,1.75,11.0,1498.25,41.6435,18264.225,16328.95,2038.3,21.95924238125,10.6395,1127557362.0,2.65084663455,8.611,10.01225,4.5225,6559.375,6.390202177293935,6.50865191146881,2.5191407542176636,1.1296559020144028,1.1831137988703186,12.75,0.75,0.5,0.4258333333333333,0.0006712285728090463,13630.195493060706,42696.574930003975,1.2774999999999999
20. San Blas-Canillejas,201. Simancas,NUEVA,100.44949370214869,2445.698125,104.875,14769.5,38676.2,6.875,41.7,116.0875,112.25,1.375,14.75,1498.75,43.541375,20471.9875,17506.2625,2545.725,140.068720876375,15.513500000000002,1162209256.7125,2.6063310574875,8.283624999999999,7.307375,0.10700000000000001,7773.8,6.850699844479005,6.246076458752514,2.61712702613298,1.3935353747160015,1.2041561989125433,16.125,0.75,1.0,3.8695833333333334,0.0007424607024302325,14849.27709337778,46634.70571479444,5.510833333333333
21. Barajas,211. Alameda de Osuna,NUEVA,48.60893345487693,3240.198,50.5,19326.6,51297.8,3.02,17.26,101.08,118.36,1.2,20.8,1600.0,41.96380000000001,8506.26,7992.54,1111.56,40.578493976539995,12.684800000000001,1165393531.88,2.68228633356,5.997000000000001,8.0962,0.1466,3429.88,8.82706065318818,8.569416498993961,1.9564770095931194,1.431083939669704,1.29868572106302,22.0,0.8,1.0,3.3693333333333335,0.0033250345852329096,19176.570734928533,66752.12883946858,4.240666666666667
